번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총직원수,본사직원수,공장사무직직원수,공장판매직직원수,공장생산직직원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
84,일반음식점,07_24_04_P,4351000,4351000-101-2023-00121,9/22/23,,03,폐업,02,폐업,10/8/23,,,,,50,,강원특별자치도 양양군 양양읍 남문리 226-2 외4필지,,,양양버거,10/9/23 4:15,U,10/12/23 2:40,분식,342453.8243,509055.2125,분식,0,0,,,,0,0,0,0,0,,0,0,N,50,,,
85,일반음식점,07_24_04_P,4351000,4351000-101-2023-00120,9/22/23,,03,폐업,02,폐업,10/8/23,,,,,9,,강원특별자치도 양양군 양양읍 남문리 226-2 외 4필지,,,양양어묵,10/9/23 4:15,U,10/12/23 2:40,분식,342453.8243,509055.2125,분식,0,0,,,,0,0,0,0,0,,0,0,N,9,,,
86,일반음식점,07_24_04_P,4840000,4840000-101-2023-00209,9/22/23,,03,폐업,02,폐업,9/23/23,,,,,9,545-879,"전라남도 광양시 중동 1334 일원, 가설건축물 1",,,중마동청년회 계절음식점,9/24/23 4:15,U,9/26/23 2:40,한식,263789.4162,160377.2317,한식,0,0,,,,0,0,0,0,0,,0,0,N,9,,,
87,일반음식점,07_24_04_P,4470000,4470000-101-2023-00219,11/29/23,,03,폐업,02,폐업,9/3/24,,,,,176.59,369-811,충청북도 음성군 맹동면 두성리 1358,충청북도 음성군 맹동면 용두2나길 3,27738,아구랑쭈미쭈미,9/3/24 13:09,U,9/5/24 2:40,한식,248458.2133,378773.5055,한식,0,0,,,,0,0,0,0,0,,0,0,N,176.59,,,
88,일반음식점,07_24_04_P,3450000,3450000-101-2023-00449,11/30/23,,03,폐업,02,폐업,12/27/23,,,,,91.94,702-842,대구광역시 북구 산격동 1400-12,"대구광역시 북구 산격로6길 24, 2층 (산격동)",41544,홀덤 케이엔유(KNU),12/27/23 9:50,U,12/29/23 2:40,기타,345110.5542,266976.4181,기타,0,0,기타,,상수도전용,0,0,0,0,0,,0,0,N,91.94,,,
89,일반음식점,07_24_04_P,4010000,4010000-101-2023-00892,11/24/23,,03,폐업,02,폐업,5/8/24,,,,,36,429-828,경기도 시흥시 신천동 716-2 미래산업,"경기도 시흥시 호현로21번길 23-1, 1층 일부호 (신천동)",14904,홍은푸드,5/8/24 12:02,U,5/10/24 2:40,한식,180669.7253,437901.953,한식,0,0,,,,0,0,0,0,0,,0,0,N,36,,,
90,일반음식점,07_24_04_P,4960000,4960000-101-2023-00038,11/24/23,,03,폐업,02,폐업,5/28/24,,,,061 323 5333,82.66,525-851,전라남도 함평군 신광면 월암리 189-4,전라남도 함평군 신광면 신광중앙길 103,57107,용천루,8/28/24 10:24,U,8/30/24 2:40,중국식,154171.324,184241.962,중국식,0,0,,,,0,0,0,0,0,,0,0,N,82.66,,,
91,일반음식점,07_24_04_P,3940000,4100100-101-2023-00347,11/15/23,,03,폐업,02,폐업,11/26/23,,,,,,411-766,경기도 고양시 일산서구 대화동 2600 킨텍스제1전시장 4홀호,"경기도 고양시 일산서구 킨텍스로 217-60, 킨텍스제1전시장 4홀(일부)호 (대화동)",10390,이선이 명품갈비(한시적영업),11/27/23 4:15,U,11/29/23 2:40,기타,177370.8202,462947.5158,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
92,일반음식점,07_24_04_P,3940000,4100100-101-2023-00346,11/15/23,,03,폐업,02,폐업,12/3/23,,,,07071627013,0,411-766,"경기도 고양시 일산서구 대화동 2600 킨텍스 제1전시장 3,4,5홀","경기도 고양시 일산서구 킨텍스로 217-60, 킨텍스 제1전시장 3,4,5홀 (대화동)",10390,애니플러스서울1호점(한시적영업),12/4/23 4:15,U,12/6/23 2:40,기타,177370.8202,462947.5158,기타,0,0,,,상수도전용,0,0,0,0,0,,0,0,N,0,,,
93,일반음식점,07_24_04_P,3940000,4100100-101-2023-00344,11/15/23,,03,폐업,02,폐업,11/30/23,,,,,,411-766,경기도 고양시 일산서구 대화동 2602 현대백화점 킨텍스점 지하1층호,"경기도 고양시 일산서구 호수로 817, 현대백화점 킨텍스점 지하1층 일부호 (대화동)",10391,올드페리도넛 아이파크몰 고척점(한시적영업),12/1/23 4:15,U,12/3/23 2:40,기타,178006.0803,462865.8125,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
94,일반음식점,07_24_04_P,3460000,3460000-101-2023-00355,9/21/23,,03,폐업,02,폐업,9/24/23,,,,,,706-801,대구광역시 수성구 두산동 499-4 수성못 솔숲광장 내,"대구광역시 수성구 무학로 112, 수성못 솔숲광장 내 (두산동)",42203,한방치킨앤돈가스,9/25/23 4:15,U,9/27/23 2:40,한식,346381.129,260006.0883,한식,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
95,일반음식점,07_24_04_P,3780000,3810000-101-2023-00469,9/22/23,,03,폐업,02,폐업,10/18/23,,,,,,463-040,경기도 성남시 분당구 율동 323-10 1층 일부,"경기도 성남시 분당구 문정로 142, 1층 일부호 (율동)",13576,요고프로즌요거트카페&와인 분당맛집,10/18/23 16:32,U,10/20/23 2:40,기타,213330.3564,431168.2345,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
96,일반음식점,07_24_04_P,5150000,5150000-101-2023-00042,9/22/23,,03,폐업,02,폐업,10/6/23,,,,,,769-803,경상북도 의성군 의성읍 중리리 516 의성종합운동장,"경상북도 의성군 의성읍 충효로 104, 의성종합운동장",37331,진수성찬,10/7/23 4:15,U,10/9/23 2:40,한식,352748.8596,318587.7105,한식,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
97,일반음식점,07_24_04_P,3670000,3670000-101-2023-00509,9/22/23,,03,폐업,02,폐업,10/12/23,,,,,,305-330,대전광역시 유성구 지족동 918-2,"대전광역시 유성구 은구비서로24번길 6, 지상1층 (지족동)",34085,프루티야(FRUITIYA),10/12/23 16:21,U,10/14/23 2:40,기타,228723.4199,319308.939,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
98,일반음식점,07_24_04_P,3670000,3670000-101-2023-00507,9/22/23,,03,폐업,02,폐업,9/23/23,,,,,,305-808,대전광역시 유성구 원내동 62,,,효페스티벌&전통혼례,9/24/23 4:15,U,9/26/23 2:40,기타,228223.3276,310996.9114,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
99,일반음식점,07_24_04_P,5470000,5470000-101-2023-00053,9/22/23,,03,폐업,02,폐업,10/15/23,,,,,,670-871,경상남도 거창군 신원면 덕산리 산 57 꽃별마켓 옆 먹거리장터 일원,,,어울림마을,10/16/23 4:15,U,10/18/23 2:40,한식,282980.0819,232769.9255,한식,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
