번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총직원수,본사직원수,공장사무직직원수,공장판매직직원수,공장생산직직원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
39,일반음식점,07_24_04_P,3150000,3150000-101-2023-00768,11/27/23,,03,폐업,02,폐업,9/30/24,,,,,31,157-918,서울특별시 강서구 화곡동 1021-4 1층 104호,"서울특별시 강서구 강서로39길 30, 1층 104호 (화곡동)",07708,또바기막창,9/30/24 11:11,U,10/3/24 2:40,한식,185442.7841,449128.3027,한식,0,0,,,상수도전용,0,0,0,0,0,,0,0,N,31,,,
40,일반음식점,07_24_04_P,3530000,3530000-101-2023-00459,11/20/23,,03,폐업,02,폐업,12/13/23,,,,,59.76,405-801,인천광역시 남동구 간석동 74-27 1층 일부호,"인천광역시 남동구 간석로11번길 25, 1층 일부호 (간석동)",21510,열린한우,12/13/23 11:33,U,12/15/23 2:40,기타,174212.304,440821.1188,기타,0,0,,,,0,0,0,0,0,,0,0,N,59.76,,,
41,일반음식점,07_24_04_P,3740000,3770000-101-2023-00341,9/22/23,,03,폐업,02,폐업,10/18/23,,,,,0,442-040,경기도 수원시 팔달구 신풍동 61-2,"경기도 수원시 팔달구 화서문로32번길 3, 1층 (신풍동)",16251,헤이드 행궁점,10/18/23 15:15,U,10/20/23 2:40,기타,200964.9851,420316.5802,기타,0,0,,,상수도전용,0,0,0,0,0,,0,0,N,0,,,
42,일반음식점,07_24_04_P,3740000,3770000-101-2023-00339,9/22/23,,03,폐업,02,폐업,10/9/23,,,,,,442-160,경기도 수원시 팔달구 매향동 49 수원화성박물관,"경기도 수원시 팔달구 창룡대로 21, 수원화성박물관 부설주차장 (매향동)",16255,홍두깨손칼국수,10/10/23 4:15,U,10/12/23 2:40,한식,201647.0272,420068.6406,한식,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
43,일반음식점,07_24_04_P,5080000,5080000-101-2023-00396,9/22/23,,03,폐업,02,폐업,12/1/23,,,,,,730-370,경상북도 구미시 거의동 456 1층 나동,"경상북도 구미시 대학로 39, 나동 1층 (거의동)",39176,두르가즈,12/1/23 14:12,U,12/3/23 2:40,"외국음식전문점(인도,태국등)",325607.4703,294123.6933,"외국음식전문점(인도,태국등)",0,0,,,,0,0,0,0,0,,0,0,N,0,,,
44,일반음식점,07_24_04_P,4221000,4221000-101-2023-00058,9/22/23,,03,폐업,02,폐업,9/24/23,,,,,,,강원특별자치도 태백시 문곡동 10-3 고원2체육관,"강원특별자치도 태백시 태백로 1451, 고원2체육관 (문곡동)",26044,베이크우드,9/25/23 4:15,U,9/27/23 2:40,기타,377935.462,405914.8734,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
45,일반음식점,07_24_04_P,4221000,4221000-101-2023-00057,9/22/23,,03,폐업,02,폐업,9/24/23,,,,,,,강원특별자치도 태백시 문곡동 10-3 고원2체육관,"강원특별자치도 태백시 태백로 1451, 고원2체육관 (문곡동)",26044,팜스토랑 누리팜,9/25/23 4:15,U,9/27/23 2:40,기타,377935.462,405914.8734,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
46,일반음식점,07_24_04_P,4221000,4221000-101-2023-00056,9/22/23,,03,폐업,02,폐업,9/24/23,,,,,,,강원특별자치도 태백시 문곡동 10-3 고원2체육관,"강원특별자치도 태백시 태백로 1451, 고원2체육관 (문곡동)",26044,반찬의 신,9/25/23 4:15,U,9/27/23 2:40,기타,377935.462,405914.8734,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
47,일반음식점,07_24_04_P,4221000,4221000-101-2023-00055,9/22/23,,03,폐업,02,폐업,9/24/23,,,,,,,강원특별자치도 태백시 문곡동 10-3 종합경기장 및 고원체육관 일원,,,훈이네탕후루,9/25/23 4:15,U,9/27/23 2:40,한식,377935.462,405914.8734,한식,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
48,일반음식점,07_24_04_P,3240000,3240000-101-2023-00477,11/27/23,,03,폐업,02,폐업,2/14/24,,,,,10,134-779,서울특별시 강동구 천호동 572 현대백화점,"서울특별시 강동구 천호대로 1005, 현대백화점 지2층 (천호동)",05328,비비드크로넛 현대백화점 천호점,2/14/24 11:57,U,2/16/24 2:40,기타,210929.9197,448537.4067,기타,0,0,,,,0,0,0,0,0,,0,0,N,10,,,
